name,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y
Dinesh Bhatia,2040,503,24,10,49,11
P. C.  Anderson,2015,629,23,14,37,19
Rishabh Iyer,2001,1626,23,21,30,29
Yue Zhou,1996,1788,27,25,41,40
Pamela Rollins,1990,679,19,14,24,17
Zhenpeng Qin,1978,1534,18,18,22,22
Hyun-Joo Nam,1976,852,20,17,24,18
Dmitrii Rachinskii,1973,976,24,18,61,36
Janos Turi,1969,514,24,11,45,16
Jackie A. Nelson,1966,1375,22,20,30,29
Candice Mills,1960,1296,22,19,31,27
Vidroha Debroy,1946,1213,18,16,24,19
Xiaohu Guo,1936,879,25,17,53,33
Sergey Bereg,1880,686,23,14,59,20
Kamran Kiasaleh,1880,738,20,13,42,20
Michael Kolodrubetz,1870,1542,20,16,25,23
Sheryl Skaggs,1870,933,16,12,22,13
Michael D. Burton,1842,1636,24,23,39,38
Frederick Turner,1839,374,20,10,30,11
Danieli C Rodrigues,1833,1417,22,21,45,38
Luis Felipe Feres Pereira,1819,620,21,14,49,22
Anthony Champagne,1811,244,25,9,38,7
Fabiano S Rodrigues,1771,917,24,18,43,30
Min Chen,1764,1068,18,15,25,19
Yuzhi Gao,1762,1288,10,9,10,8
Rodrigo A. Bernal,1757,1100,19,18,20,20
J.M. Coleman,1752,122,17,6,17,3
Yongwan Chun,1743,1292,22,21,40,37
Ganesh Janakiraman,1736,1000,22,19,41,35
Jin Liu,1732,528,20,12,31,14
"Luo, Huiyang",1730,988,24,19,40,33
Sue Minkoff,1730,690,19,12,27,15
Kyle M. McCall,1720,1683,17,17,24,24
John Zweck,1710,477,17,8,33,6
Giacomo Valerio Iungo,1710,1383,23,21,36,35
Dmitri Kuksov,1705,903,17,15,20,19
Hejun Zhu (祝贺君),1698,1325,21,21,36,34
Eric Mattson,1667,906,20,17,31,27
Benedict Kolber,1664,1002,20,17,32,30
Shuang Hao,1644,1364,21,20,28,27
Jacopo Ferruzzi,1621,1262,18,18,22,22
Dong Li,1604,562,14,9,18,8
Dorothee Honhon,1602,1188,15,15,19,16
Ben Niu,1592,571,13,12,14,13
Alejandro Zentner,1578,589,14,13,18,17
Robert W. Taylor,1564,459,14,8,16,8
Ruizhi Gao,1562,1339,12,12,13,12
Marco Tacca,1546,343,20,9,41,6
Chenxi Zhang,1533,1414,15,15,16,16
Nanda Kumar,1532,649,15,13,15,14
Jonathan Riley,1523,1008,10,10,10,10
Dohyeong Kim,1513,894,19,17,32,30
Jiuke Mu,1494,1441,16,16,16,16
John F Ferguson,1488,295,19,10,32,10
Haihang Ye,1427,1284,21,18,25,24
Kristin S. Miller,1401,944,20,18,26,24
Ying Xie,1400,862,14,12,16,15
Clint Peinhardt,1394,783,11,10,13,11
Benjamin Carrion Schafer,1393,1114,19,17,33,27
Kanad Basu (কণাদ বসু),1388,1020,18,17,30,28
Junjie Li,1376,700,20,13,30,17
Angela M. Lee,1372,1020,15,14,20,17
Caroline N. Jones,1357,680,19,13,23,19
Karen Mazidi,1352,511,10,9,11,8
Yihao Li,1350,1136,6,5,3,3
Nurcan Yuruk,1349,604,7,5,5,5
Hussnain Ali,1347,1151,12,10,15,10
Victor D. Varner,1337,1032,18,16,23,19
Yuxuan Wang,1328,829,16,14,19,17
Xuhui Ning,1327,1073,10,10,10,10
Yichen Ding,1317,1150,19,19,30,27
William Anderson,1311,1153,20,19,30,29
Anish Nair,1309,491,4,3,2,1
Christopher L. Frewin,1274,764,20,16,34,24
Jun Li,1270,985,10,10,10,10
Hyuntae YOO,1264,483,10,8,10,7
M Saquib,1252,427,18,9,32,8
Zeshan Ahmad,1251,1055,14,13,20,16
Rym Zalila Wenkstern (Mili),1247,225,16,9,30,9
Amit Mehra,1224,920,12,12,12,12
Chen Li,1224,1025,18,16,24,24
Kaveh Shamsi,1194,1156,17,16,21,21
kangkook Jee,1172,986,12,12,13,13
Murray J Leaf,1162,218,16,8,23,8
Heidi Kane,1155,802,15,14,19,16
Haemin Dennis Park,1154,983,16,16,21,20
Mona Ghassemi,1153,1099,20,20,37,33
Rui Zhang,1148,1100,8,8,8,8
Crystal Engineer,1137,734,20,17,25,22
Shun-Chen Niu,1134,269,18,9,21,9
Mohammad Fathi,1101,931,4,4,4,4
Han Xia,1094,756,9,8,9,8
Michael Borland,1094,687,14,12,14,12
Ross Haroldson,1092,1078,13,13,13,13
Ghanshyamsinh Gohil,1084,879,17,16,29,27
Girgis Obaid,1074,983,13,13,15,15
"Katherine G. Brown, Ph.D.",1074,388,12,8,12,6
"Millie Rincón-Cortés, PhD",1068,900,15,15,16,16
Junfeng Wu,1064,998,9,9,9,9
